Product_Sold | Description,Old Price,Discount Percentages,Current Prices,Rating_out_of_5,Number of Ratings,Link,Unit Available,Sale Type,Brand,Use_Case,RAM,ROM,USD Price,Seller Name,Seller Score,Door Delivery Fees,Door Delivery Date,Door Delivery Ready Time,Pickup Fees,Pickup Date,Pickup Ready Time
"Lenovo IdeaPad 3 15ITL6 Intel Core I3-1115G4 - Ram 4GB - 1TB HHD - Integrated Intel UHD -15.6"" FHD - Arctic Grey -Dos",13728.0,1.0,13699.0,0.0,0.0,https://www.jumia.com.eg/lenovo-ideapad-3-15iml05-laptop-intel-corei3-10110u-4gb-ram-1tb-hdd-15.6-inch-fhd-dos-no-windows-platinum-grey-englisharabic-keyboard-37851568.html,1,Back to school offers,Lenovo,Unknown,4 GB ,unknown,443.33,Jumia,100.0,Free delivery,05 September,5hrs 12mins,Free delivery,05 September,5hrs 12mins
DELL G15 - 5511 - Gaming Laptop - Intel Core I7-11800H - 16GB RAM - 512GB SSD - 15.6 Inch FHD - Nvidia RTX 3050 4G - Win11 Home - Grey,29999.0,25.0,22499.0,0.0,0.0,https://www.jumia.com.eg/huawei-matebook-b3-420-laptop-core-i5-1135g7-8gb-ram-512gb-ssd-iris-xe-gpu-14in-fhd-space-gray-dos-no-windows-44281912.html,2,Back to school offers,DELL,Gaming,16 GB ,512GB SSD,728.12,BS-Store Marketplace,100.0,EGP 52.44,06 September,07 September,EGP 52.44,06 September,07 September
"Lenovo Legion 5 Pro 16ITH6H Intel Core I7-11800H - Ram 16 GB - 1TB SSD - NVIDIA GeForce RTX 3060 6GB - 16"" WQXGA (2560x1600) IPS - Stingray - DOS",10999.0,7.000000000000001,10190.0,0.0,0.0,https://www.jumia.com.eg/acer-aspire-3-laptop-intel-core-i3-1115g4-4gb-ram-1tb-hdd-15.6-inch-fhd-silver-44860777.html,1,Back to school offers,Lenovo,Unknown,16  GB ,1TB SSD,329.77,Jumia,100.0,Free delivery,05 September,5hrs 12mins,Free delivery,05 September,5hrs 12mins
"Acer Aspire 5 A515-45G-R1RE AMD Ryzen 5-5500U 512GB SSD 8GB Ram AMD Radeon RX640 2GB 15.6'' Inch - DOS ""No Windows""",34999.0,20.0,27899.0,0.0,0.0,https://www.jumia.com.eg/acer-aspire-7-a715-43g-r3a6-notebook-laptop-amd-ryzentm-5-5625u-16gb-ram-512-ssd-nvidiar-geforcer-rtxtm-3050-15.6-inch-fhd-windows-11-charcoal-black-44356859.html,2,Back to school offers,Unknown,Unknown,512 GB ,512GB SSD,902.88,Jumia,100.0,Free delivery,05 September,5hrs 12mins,Free delivery,05 September,5hrs 12mins
"Lenovo IdeaPad 3 15ITL6 Intel Core I3-1115G4 - Ram 4GB - 1TB HDD - GPU Integrated Intel UHD - 15.6"" FHD - Abyss Blue - Dos",16999.0,5.0,16099.0,0.0,0.0,https://www.jumia.com.eg/acer-aspire-3-laptop-intel-core-i5-1135g7-8gb-ram-1tb-hdd-15.6-inch-fhd-nvidia-mx-350-.-2gb-silver-44860780.html,2,Back to school offers,Lenovo,Unknown,4 GB ,1TB HDD,521.0,Jumia,100.0,Free delivery,05 September,5hrs 12mins,Free delivery,05 September,5hrs 12mins
HP 15-DW3019ne-i5-1135G7-1TB HDD+128 SSD- 8 GB-MX350 Silver-Windows 10,0.0,0.0,39990.0,0.0,0.0,https://www.jumia.com.eg/hp-envy-13-ba1018ne-i7-1165g7-16gb-1tb-ssd-mx450-2gb-45486316.html,2,information not available,HP,Unknown,8  GB,1TB HDD,1294.17,GRD international Marketplace,100.0,EGP 52.44,06 September,07 September,EGP 52.44,06 September,07 September
Lenovo IdeaPad 1 15IGL7- Intel Pentium N5030- 8GB RAM- 256GB SSD- Integrated Graphics- 15.6 HD - Abyss Blue,38166.95,4.0,36654.0,0.0,0.0,https://www.jumia.com.eg/hp-laptop-pavilion-15-ec2027ne-gaming-ryzen-7-5800h-16gb-ram-512gb-ssd-rtx-3050-4gb-15.6-fhd-144hz-backlit-ae-kb-black-dos-no-windows-37851585.html,1,Back to school offers,Lenovo,Unknown,8 GB ,256GB SSD,1186.21,Jumia,100.0,Free delivery,05 September,5hrs 12mins,Free delivery,05 September,5hrs 12mins
Apple MacBook Air13 2020/M1/8GB/256GB/13 Inch Retina/Silver/AR,26666.0,4.0,25666.0,0.0,0.0,https://www.jumia.com.eg/lenovo-ideapad-5-intel-i7-1165g7-ram-16gb-512gb-ssd-nvidia-mx450-2gb-15.6-fhd-graphite-grey-dos-47373482.html,3,information not available,Apple,Unknown,unknown,unknown,830.61,Brothers Computer Marketplace,100.0,EGP 52.44,06 September,07 September,EGP 52.44,06 September,07 September
"Lenovo Flex 5 - AMD Ryzen7-5700U - 8GB - 512GB SSD - AMD Radeon Graphics - 14""FHD - Win10 - Graphite Grey",31272.0,6.0,29432.0,0.0,0.0,https://www.jumia.com.eg/hp-probook-450-g8-laptop-intel-core-i7-1165g7-8gb-ram-512gb-ssd-15.6-inch-fhd-intel-iris-x-graphics-freedos-no-windows-silver-englisharabic-keyboard-37851584.html,1,Back to school offers,Lenovo,Unknown,8 GB ,512GB SSD,952.49,Jumia,100.0,Free delivery,05 September,5hrs 12mins,Free delivery,05 September,5hrs 12mins
Lenovo IdeaPad 5 15ITL05- Intel Core I7-1165G7- 8GB RAM- 512GB SSD- GeForce MX450- 15.6 FHD - Grey,0.0,0.0,11990.0,4.0,1.0,https://www.jumia.com.eg/fujitsu-a3511-coretm-i3-1115g4-8gb-256gb-ssd-dos-no-windows-44750302.html,3,Back to school offers,Lenovo,Unknown,8 GB ,512GB SSD,388.03,GRD international Marketplace,100.0,EGP 52.44,06 September,07 September,EGP 52.44,06 September,07 September
